version,url,sha,beta
1.1.2,https://releases.hashicorp.com/terraform/1.1.2/terraform_1.1.2_linux_amd64.zip,734efa82e2d0d3df8f239ce17f7370dabd38e535d21e64d35c73e45f35dfa95c,false
1.1.0-alpha20211006,https://releases.hashicorp.com/terraform/1.1.0-alpha20211006/terraform_1.1.0-alpha20211006_linux_amd64.zip,2787d3b6d454e76c45520ff998437ba3e125686c0c577f1c6db50f38c5d8d75b,false
1.0.11,https://releases.hashicorp.com/terraform/1.0.11/terraform_1.0.11_linux_amd64.zip,eeb46091a42dc303c3a3c300640c7774ab25cbee5083dafa5fd83b54c8aca664,false
1.0.7,https://releases.hashicorp.com/terraform/1.0.7/terraform_1.0.7_linux_amd64.zip,bc79e47649e2529049a356f9e60e06b47462bf6743534a10a4c16594f443be7b,false
0.7.3,https://releases.hashicorp.com/terraform/0.7.3/terraform_0.7.3_linux_amd64.zip,4e985f222ec99616e8c730d737c9b400f9d73bf0c436661ec888b2406d3a6f39,false
0.12.7,https://releases.hashicorp.com/terraform/0.12.7/terraform_0.12.7_linux_amd64.zip,a0fa11217325f76bf1b4f53b0f7a6efb1be1826826ef8024f2f45e60187925e7,false
0.12.0-alpha2,https://releases.hashicorp.com/terraform/0.12.0-alpha2/terraform_0.12.0-alpha2_linux_amd64.zip,14d222094f10fc605131ed0629c34008943c10eb782d4c02db05032d7928c048,false
0.10.3,https://releases.hashicorp.com/terraform/0.10.3/terraform_0.10.3_linux_amd64.zip,f316c6ff8b2abe257250d19cbe0e3cf745dedfa67b37bb4afaf95e0291efeade,false
0.8.7,https://releases.hashicorp.com/terraform/0.8.7/terraform_0.8.7_linux_amd64.zip,7ca424d8d0e06697cc7f492b162223aef525bfbcd69248134a0ce0b529285c8c,false
1.1.0-alpha20210616,https://releases.hashicorp.com/terraform/1.1.0-alpha20210616/terraform_1.1.0-alpha20210616_linux_amd64.zip,42ce17b679ae6dfa083c2026b271d99101bb533561e48572b4bf237f32e99a5b,false
0.13.0,https://releases.hashicorp.com/terraform/0.13.0/terraform_0.13.0_linux_amd64.zip,9ed437560faf084c18716e289ea712c784a514bdd7f2796549c735d439dbe378,false
0.6.10,https://releases.hashicorp.com/terraform/0.6.10/terraform_0.6.10_linux_amd64.zip,d7c07e2bf587257673bae710c776430a8cc5a755a9ad4a2cbae066d0cd02a862,false
0.10.1,https://releases.hashicorp.com/terraform/0.10.1/terraform_0.10.1_linux_amd64.zip,632e10925ae5de013d0d7e76e1c5ae8d5495182acf0b577e35d130de125d2c04,false
0.9.8,https://releases.hashicorp.com/terraform/0.9.8/terraform_0.9.8_linux_amd64.zip,f951885f4e15deb4cf66f3b199964e3e74a0298bb46c9fe42e105df2ebcf3d16,false
0.9.1,https://releases.hashicorp.com/terraform/0.9.1/terraform_0.9.1_linux_amd64.zip,b3b18a719258dcc02b7b972eedf417be0b497e4129063711bca82877dbe65553,false
0.7.8,https://releases.hashicorp.com/terraform/0.7.8/terraform_0.7.8_linux_amd64.zip,b3394910c6a1069882f39ad590eead0414d34d5bd73d4d47fa44e66f53454b5a,false
1.0.10,https://releases.hashicorp.com/terraform/1.0.10/terraform_1.0.10_linux_amd64.zip,a221682fcc9cbd7fde22f305ead99b3ad49d8303f152e118edda086a2807716d,false
0.14.8,https://releases.hashicorp.com/terraform/0.14.8/terraform_0.14.8_linux_amd64.zip,4c4c6730374f25bd70e61b83250eb52f39e340188b0f0216f7243b90396ba8b6,false
0.12.26,https://releases.hashicorp.com/terraform/0.12.26/terraform_0.12.26_linux_amd64.zip,607bc802b1c6c2a5e62cc48640f38aaa64bef1501b46f0ae4829feb51594b257,false
